Call Failure,Complaints,Subscription Length,Charge Amount,Seconds of Use,Frequency of use,Frequency of SMS,Distinct Called Numbers,Age Group,Tariff Plan,Status,Age,Customer Value,Churn
0,0,34,0,318,4,0,3,2,1,2,25,14.49,0
9,0,33,0,3775,76,24,27,2,1,1,25,281.295,0
11,0,32,1,9115,115,136,42,3,1,1,30,913.2,0
5,0,33,0,13773,163,0,43,3,1,1,30,557.44,0
5,0,33,0,4515,77,0,24,3,1,1,30,183.68,0
4,0,33,0,5918,89,0,11,2,1,1,25,270.315,0
7,1,33,0,2238,48,0,16,3,1,2,30,91.44,0
1,0,32,0,6500,80,178,25,3,1,1,30,975.2,0
0,0,32,0,875,8,0,10,2,1,2,25,39.735,0
0,0,33,0,710,8,5,7,2,1,2,25,54.81,0
0,0,32,0,0,0,0,0,2,1,2,25,0.0,1
5,0,32,0,11465,148,3,46,3,1,1,30,476.52,0
6,0,32,0,6718,69,100,36,2,1,1,25,755.415,0
21,1,28,0,955,41,8,16,2,1,2,25,80.82,1
11,0,31,0,5818,92,18,23,2,1,1,25,346.95,1
0,0,29,0,2840,16,0,13,3,1,1,30,114.24,0
7,1,30,0,2990,35,1,15,2,1,2,25,140.625,1
7,1,31,0,2268,38,26,30,3,1,2,30,196.24,1
0,1,31,0,0,0,0,0,2,1,2,25,0.0,1
0,0,31,0,1668,19,0,5,3,1,1,30,67.48,0
0,0,31,0,3718,76,0,27,2,1,1,25,170.73,0
1,0,30,0,1665,38,30,19,3,1,2,30,188.12,0
4,0,31,0,2780,47,167,22,2,1,1,25,878.715,0
2,0,22,0,1315,30,185,10,2,2,1,25,893.025,0
9,0,22,0,700,19,2,6,2,1,2,25,41.355,0
8,0,20,0,1225,26,11,12,2,1,1,25,105.795,0
0,0,20,0,3225,55,0,22,3,1,1,30,131.2,0
10,0,43,1,4370,77,13,18,3,1,1,30,229.88,0
2,0,44,0,318,11,15,5,3,1,2,30,73.16,0
5,0,43,1,2393,64,10,34,2,1,1,25,155.565,0
13,0,43,2,3775,88,40,29,3,1,1,30,314.52,0
9,0,43,1,13773,175,8,45,3,1,1,30,589.92,0
9,0,43,2,4515,89,10,26,3,1,1,30,224.16,0
8,0,43,1,5918,101,15,13,3,1,1,30,300.76,0
11,1,43,0,2238,60,16,18,3,1,2,30,155.92,0
5,0,42,2,6500,92,194,27,3,1,1,30,1039.68,0
2,0,42,0,875,20,8,12,2,1,2,25,76.275,0
4,0,43,0,710,20,21,9,3,1,2,30,113.2,0
0,0,42,0,0,0,8,0,2,1,2,25,36.0,1
10,0,42,2,6718,81,116,38,2,1,1,25,827.955,0
25,1,38,0,955,53,24,18,3,1,2,30,136.32,1
15,0,41,2,5818,104,34,25,3,1,1,30,372.88,0
3,0,39,1,2840,28,8,15,3,1,1,30,146.72,0
11,0,40,0,2990,47,17,17,3,1,2,30,189.48,1
2,0,41,0,133,8,8,3,3,1,2,30,37.64,1
4,0,41,1,3718,88,10,29,3,1,1,30,192.24,0
8,0,41,1,2780,59,183,24,2,1,1,25,951.255,0
6,1,32,2,1315,42,201,12,3,2,1,30,858.28,1
13,0,32,0,700,31,18,8,3,1,2,30,101.24,0
12,0,30,1,1225,38,27,14,2,1,1,25,178.335,0
4,0,30,1,3225,67,16,24,3,1,1,30,195.68,0
4,0,23,1,1695,32,36,15,3,1,1,30,213.08,0
18,0,22,2,6392,147,93,43,2,2,1,25,712.755,0
14,0,39,1,5080,82,30,17,3,1,1,30,326.48,0
6,0,40,0,1028,16,15,4,3,1,2,30,101.76,0
9,0,39,1,3103,69,10,33,2,1,1,25,187.74,0
17,0,39,2,4485,93,40,28,3,1,1,30,343.12,0
13,0,39,2,5225,94,10,25,3,1,1,30,252.76,0
12,0,39,1,6628,106,15,12,3,1,1,30,329.36,0
15,0,39,0,2948,65,16,17,3,1,2,30,184.52,0
9,0,38,2,7210,97,194,26,3,1,1,30,1068.28,0
6,0,38,0,1585,25,8,11,2,1,2,25,108.45,0
8,0,39,0,1420,25,21,8,3,1,2,30,141.8,0
6,0,38,0,710,11,8,2,2,1,2,25,68.445,1
14,0,38,2,7428,86,116,37,2,1,1,25,860.13,0
19,0,37,2,6528,109,34,24,2,1,1,25,451.665,0
7,0,35,1,3550,33,8,14,3,1,1,30,175.32,0
15,1,36,0,3700,52,17,16,3,1,2,30,218.08,1
15,1,37,0,2978,55,42,31,3,1,2,30,289.32,1
6,0,37,0,843,13,8,2,3,1,2,30,66.24,1
8,0,37,1,4428,93,10,28,3,1,1,30,220.84,0
9,0,36,0,2375,55,46,20,3,1,2,30,281.2,0
12,0,37,1,3490,64,183,23,2,1,1,25,983.43,0
10,0,28,2,2025,47,201,11,3,2,1,30,886.88,0
17,0,28,0,1410,36,18,7,3,1,2,30,129.84,0
16,0,26,1,1935,43,27,13,2,1,1,25,210.51,0
8,0,26,1,3935,72,16,23,3,1,1,30,224.28,0
8,0,19,1,2405,37,36,14,2,1,1,25,271.89,0
2,0,37,0,3660,60,0,17,2,1,1,25,167.4,0
0,0,38,0,0,0,0,0,2,1,2,25,0.0,0
5,0,37,0,3065,71,7,28,3,1,1,30,153.44,0
7,0,36,1,8405,110,119,43,3,1,1,30,816.6,0
1,0,37,0,13063,158,0,44,3,1,1,30,528.84,0
1,0,37,0,3805,72,0,25,3,1,1,30,155.08,0
0,0,37,0,5208,84,0,12,2,1,1,25,238.14,0
3,0,37,0,1528,43,0,17,3,1,2,30,62.84,0
0,0,36,0,5790,75,161,26,3,1,1,30,878.6,0
0,0,36,0,165,3,0,11,2,1,2,25,7.56,0
0,0,37,0,0,0,0,0,2,1,2,25,0.0,0
0,0,36,0,0,0,0,0,2,1,2,25,0.0,1
1,0,36,0,10755,143,0,47,3,1,1,30,435.92,0
2,0,36,0,6008,64,83,37,2,1,1,25,646.74,0
17,0,32,0,245,36,0,17,2,1,2,25,12.645,1
7,0,35,0,5108,87,1,24,2,1,1,25,238.275,1
0,0,33,0,2130,11,0,14,3,1,1,30,85.64,0
3,1,34,0,2280,30,0,16,2,1,2,25,103.95,1
3,0,35,0,1558,33,9,31,3,1,2,30,99.64,1
0,0,35,0,0,0,0,0,3,1,2,30,0.0,1
0,0,35,0,958,14,0,6,3,1,1,30,38.88,0
0,0,35,0,3008,71,0,28,2,1,1,25,138.555,0
0,0,34,0,955,33,13,20,3,1,2,30,91.52,0
0,0,35,0,2070,42,150,23,2,1,1,25,770.04,0
0,0,26,0,605,25,168,11,2,2,1,25,784.35,0
0,0,26,0,0,0,0,0,2,1,2,25,0.0,0
4,0,24,0,515,21,0,13,2,1,1,25,24.12,0
0,0,24,0,2515,50,0,23,3,1,1,30,102.6,0
8,0,38,0,4370,71,5,17,3,1,1,30,197.64,0
0,0,39,0,318,5,7,4,2,1,2,25,46.035,0
11,0,38,1,3775,82,32,28,3,1,1,30,282.28,0
13,0,37,2,9115,121,144,43,3,1,1,30,945.44,0
7,0,38,0,13773,169,0,44,3,1,1,30,557.68,0
7,0,38,1,4515,83,2,25,3,1,1,30,191.92,0
6,0,38,0,5918,95,7,12,3,1,1,30,268.52,0
9,1,38,0,2238,54,8,17,3,1,2,30,123.68,0
3,0,37,1,6500,86,186,26,3,1,1,30,1007.44,0
0,0,37,0,875,14,0,11,2,1,2,25,40.005,0
2,0,38,0,710,14,13,8,3,1,2,30,80.96,0
0,0,37,0,0,0,0,0,2,1,2,25,0.0,1
8,0,37,1,6718,75,108,37,2,1,1,25,791.685,0
23,0,33,0,955,47,16,17,2,1,2,25,117.09,1
13,0,36,1,5818,98,26,24,2,1,1,25,383.22,1
1,0,34,0,2840,22,0,14,3,1,1,30,114.48,0
9,1,35,0,2990,41,9,16,3,1,2,30,157.24,1
9,0,36,0,2268,44,34,31,3,1,2,30,228.48,1
0,0,36,0,133,2,0,2,3,1,2,30,5.4,1
1,0,36,0,1668,25,0,6,3,1,1,30,67.72,0
2,0,36,0,3718,82,2,28,2,1,1,25,180.0,0
3,0,35,0,1665,44,38,20,3,1,2,30,220.36,0
6,0,36,0,2780,53,175,23,2,1,1,25,914.985,0
4,1,27,1,1315,36,193,11,2,2,1,25,929.295,1
11,0,27,0,700,25,10,7,2,1,2,25,77.625,0
10,0,25,0,1225,32,19,13,2,1,1,25,142.065,0
2,0,25,0,3225,61,8,23,3,1,1,30,163.44,0
8,0,38,0,4370,71,5,17,3,1,1,30,197.64,0
0,0,39,0,318,5,7,4,2,1,2,25,46.035,0
11,0,38,1,3775,82,32,28,3,1,1,30,282.28,0
13,0,37,2,9115,121,144,43,3,1,1,30,945.44,0
7,0,38,0,13773,169,0,44,3,1,1,30,557.68,0
7,0,38,1,4515,83,2,25,3,1,1,30,191.92,0
6,0,38,0,5918,95,7,12,3,1,1,30,268.52,0
9,1,38,0,2238,54,8,17,3,1,2,30,123.68,0
3,0,37,1,6500,86,186,26,3,1,1,30,1007.44,0
0,0,37,0,875,14,0,11,2,1,2,25,40.005,0
2,0,38,0,710,14,13,8,3,1,2,30,80.96,0
0,0,37,0,0,0,0,0,2,1,2,25,0.0,1
8,0,37,1,6718,75,108,37,2,1,1,25,791.685,0
23,1,33,0,955,47,16,17,2,1,2,25,117.09,1
13,1,36,1,5818,98,26,24,2,1,1,25,383.22,1
1,0,34,0,2840,22,0,14,3,1,1,30,114.48,0
9,0,35,0,2990,41,9,16,3,1,2,30,157.24,1
9,0,36,0,2268,44,34,31,3,1,2,30,228.48,1
0,0,36,0,133,2,0,2,3,1,2,30,5.4,1
1,0,36,0,1668,25,0,6,3,1,1,30,67.72,0
2,0,36,0,3718,82,2,28,2,1,1,25,180.0,0
3,0,35,0,1665,44,38,20,3,1,2,30,220.36,0
6,0,36,0,2780,53,175,23,2,1,1,25,914.985,0
4,0,27,1,1315,36,193,11,2,2,1,25,929.295,0
11,0,27,0,700,25,10,7,2,1,2,25,77.625,0
10,0,25,0,1225,32,19,13,2,1,1,25,142.065,0
2,0,25,0,3225,61,8,23,3,1,1,30,163.44,0
3,0,36,0,4065,65,0,15,2,1,1,25,185.85,0
0,0,37,0,0,0,0,0,2,1,2,25,0.0,0
6,0,36,0,3470,76,25,26,2,1,1,25,272.07,0
8,0,35,1,8810,115,137,41,3,1,1,30,905.0,0
2,0,36,0,13468,163,0,42,3,1,1,30,545.24,0
2,0,36,0,4210,77,0,23,3,1,1,30,171.48,0
1,0,36,0,5613,89,0,10,2,1,1,25,256.59,0
4,0,36,0,1933,48,1,15,3,1,2,30,83.24,0
0,0,35,0,6195,80,179,24,3,1,1,30,967.0,0
0,0,35,0,570,8,0,9,2,1,2,25,26.01,0
0,0,36,0,405,8,6,6,2,1,2,25,45.585,0
0,0,35,0,0,0,0,0,2,1,2,25,0.0,1
2,0,35,0,11160,148,4,45,3,1,1,30,468.32,0
3,0,35,0,6413,69,101,35,2,1,1,25,746.19,0
18,0,31,0,650,41,9,15,2,1,2,25,71.595,1
8,1,34,0,5513,92,19,22,2,1,1,25,337.725,1
0,0,32,0,2535,16,0,12,3,1,1,30,102.04,0
4,0,33,0,2685,35,2,14,2,1,2,25,131.4,1
4,0,34,0,1963,38,27,29,3,1,2,30,188.04,1
0,1,34,0,0,0,0,0,3,1,2,30,0.0,1
0,0,34,0,1363,19,0,4,3,1,1,30,55.28,0
0,0,34,0,3413,76,0,26,2,1,1,25,157.005,0
0,0,33,0,1360,38,31,18,3,1,2,30,179.92,0
1,0,34,0,2475,47,168,21,2,1,1,25,869.49,0
0,1,25,0,1010,30,186,9,2,2,1,25,883.8,1
6,0,25,0,395,19,3,5,2,1,2,25,32.13,0
5,0,23,0,920,26,12,11,2,1,1,25,96.57,0
0,0,23,0,2920,55,1,21,3,1,1,30,123.0,0
6,0,38,0,4125,68,3,17,2,1,1,25,202.185,0
0,0,39,0,73,2,5,4,2,1,1,25,25.875,0
9,0,38,1,3530,79,30,28,3,1,1,30,264.36,0
11,0,37,2,8870,118,142,43,3,1,1,30,927.52,0
5,0,38,0,13528,166,0,44,3,1,1,30,547.76,0
5,0,38,1,4270,80,0,25,3,1,1,30,174.0,0
4,0,38,0,5673,92,5,12,2,1,1,25,281.925,0
7,0,38,0,1993,51,6,17,3,1,1,30,105.76,0
1,0,37,1,6255,83,184,26,3,1,1,30,989.52,0
0,0,37,0,630,11,0,11,2,1,1,25,28.845,0
0,0,38,0,465,11,11,8,2,1,1,25,70.92,0
0,0,37,0,0,0,0,0,2,1,1,25,0.0,1
5,0,37,1,11220,151,9,47,3,1,1,30,490.84,0
6,0,37,1,6473,72,106,37,2,1,1,25,771.525,0
21,1,33,0,710,44,14,17,2,1,1,25,96.93,1
11,1,36,1,5573,95,24,24,2,1,1,25,363.06,1
0,0,34,0,2595,19,0,14,3,1,1,30,104.56,0
7,0,35,0,2745,38,7,16,3,1,1,30,139.32,1
7,1,36,0,2023,41,32,31,3,1,1,30,210.56,1
0,0,36,0,0,0,0,0,3,1,1,30,0.0,1
0,0,36,0,1423,22,0,6,3,1,1,30,57.8,0
0,0,36,0,3473,79,0,28,2,1,1,25,159.84,0
1,0,35,0,1420,41,36,20,3,1,1,30,202.44,0
4,0,36,0,2535,50,173,23,2,1,1,25,894.825,0
2,1,27,1,1070,33,191,11,2,2,1,25,909.135,0
9,0,27,0,455,22,8,7,2,1,1,25,57.465,0
8,0,25,0,980,29,17,13,2,1,1,25,121.905,0
0,0,25,0,2980,58,6,23,3,1,1,30,145.52,0
0,0,34,0,4005,62,0,13,2,1,1,25,183.015,0
0,0,35,0,0,0,0,0,2,1,2,25,0.0,0
2,0,34,0,3833,57,0,31,2,1,1,25,175.05,0
3,0,34,0,3410,73,20,24,2,1,1,25,246.735,0
5,0,33,0,8750,112,132,39,3,1,1,30,882.48,0
0,0,34,0,13408,160,0,40,3,1,1,30,542.72,0
0,0,34,0,4150,74,0,21,3,1,1,30,168.96,0
0,0,34,0,5553,86,0,8,2,1,1,25,253.755,0
1,0,34,0,1873,45,0,13,3,1,2,30,76.72,0
0,0,33,0,6135,77,174,22,3,1,1,30,944.48,0
0,0,33,0,510,5,0,7,2,1,2,25,23.175,0
0,0,34,0,345,5,1,4,2,1,2,25,20.25,0
0,0,33,0,0,0,0,0,2,1,2,25,0.0,1
0,0,33,0,11100,145,0,43,3,1,1,30,449.8,0
0,0,33,0,6353,66,96,33,2,1,1,25,720.855,0
15,0,29,0,590,38,4,13,2,1,2,25,46.26,1
5,1,32,0,5453,89,14,20,2,1,1,25,312.39,1
0,0,30,0,2475,13,0,10,3,1,1,30,99.52,0
1,1,31,0,2625,32,0,12,2,1,2,25,119.565,1
1,0,32,0,1903,35,22,27,3,1,2,30,165.52,1
0,1,32,0,0,0,0,0,2,1,2,25,0.0,1
0,0,32,0,1303,16,0,2,3,1,1,30,52.76,0
0,0,32,0,263,1,0,1,3,1,2,30,10.56,1
0,0,32,0,3353,73,0,24,2,1,1,25,154.17,0
0,0,31,0,1300,35,26,16,3,1,2,30,157.4,0
0,0,32,0,2415,44,163,19,2,1,1,25,844.155,0
0,0,23,0,950,27,181,7,2,2,1,25,858.465,0
3,0,23,0,335,16,0,3,2,1,2,25,15.795,0
2,0,21,0,860,23,7,9,2,1,1,25,71.235,0
0,0,21,0,2860,52,0,19,3,1,1,30,116.48,0
4,0,40,0,4145,67,8,19,2,1,1,25,225.54,0
0,0,41,0,93,1,10,6,2,1,2,25,49.23,0
6,0,40,0,3973,62,4,37,2,1,1,25,199.575,0
7,0,40,1,3550,78,35,30,3,1,1,30,285.12,0
9,0,39,2,8890,117,147,45,3,1,1,30,948.28,0
3,0,40,0,13548,165,3,46,3,1,1,30,560.52,0
3,0,40,1,4290,79,5,27,3,1,1,30,194.76,0
2,0,40,0,5693,91,10,14,2,1,1,25,305.28,0
5,0,40,0,2013,50,11,19,3,1,2,30,126.52,0
0,0,39,1,6275,82,189,28,3,1,1,30,1010.28,0
0,0,39,0,650,10,3,13,2,1,2,25,43.2,0
0,0,40,0,485,10,16,10,2,1,2,25,94.275,0
0,0,39,0,0,0,3,0,2,1,2,25,13.5,1
3,0,39,1,11240,150,14,49,3,1,1,30,511.6,0
4,0,39,1,6493,71,111,39,2,1,1,25,794.88,0
19,0,35,0,730,43,19,19,2,1,2,25,120.285,1
9,0,38,1,5593,94,29,26,2,1,1,25,386.415,1
0,0,36,0,2615,18,3,16,3,1,1,30,117.32,0
5,1,37,0,2765,37,12,18,2,1,2,25,180.09,1
5,0,38,0,2043,40,37,33,3,1,2,30,231.32,1
0,0,38,0,0,0,3,0,3,1,2,30,12.0,1
0,0,38,0,1443,21,3,8,3,1,1,30,70.56,0
0,0,38,0,3493,78,5,30,2,1,1,25,183.195,0
0,0,37,0,1440,40,41,22,3,1,2,30,223.2,0
2,0,38,0,2555,49,178,25,2,1,1,25,918.18,0
0,0,29,1,1090,32,196,13,2,2,1,25,932.49,0
7,0,29,0,475,21,13,9,2,1,2,25,80.82,0
6,0,27,0,1000,28,22,15,2,1,1,25,145.26,0
0,0,27,0,3000,57,11,25,3,1,1,30,166.28,0
0,0,20,0,1470,22,31,16,2,1,1,25,206.64,0
2,0,32,0,3985,63,0,11,2,1,1,25,182.16,0
0,0,33,0,0,0,0,0,2,1,2,25,0.0,0
5,0,32,0,3390,74,15,22,2,1,1,25,223.38,0
7,0,31,0,8730,113,127,37,3,1,1,30,861.72,0
1,0,32,0,13388,161,0,38,3,1,1,30,541.96,0
1,0,32,0,4130,75,0,19,3,1,1,30,168.2,0
0,0,32,0,5533,87,0,6,2,1,1,25,252.9,0
3,0,32,0,1853,46,0,11,3,1,2,30,75.96,0
0,0,31,0,6115,78,169,20,3,1,1,30,923.72,0
0,0,31,0,490,6,0,5,2,1,2,25,22.32,0
0,0,32,0,325,6,0,2,2,1,2,25,14.895,0
0,0,31,0,0,0,0,0,2,1,2,25,0.0,1
1,0,31,0,11080,146,0,41,3,1,1,30,449.04,0
2,0,31,0,6333,67,91,31,2,1,1,25,697.5,0
17,0,27,0,570,39,0,11,2,1,2,25,27.405,1
7,0,30,0,5433,90,9,18,2,1,1,25,289.035,1
0,0,28,0,2455,14,0,8,3,1,1,30,98.76,0
3,1,29,0,2605,33,0,10,2,1,2,25,118.71,1
3,0,30,0,1883,36,17,25,3,1,2,30,144.76,1
0,0,30,0,0,0,0,0,2,1,2,25,0.0,1
0,0,30,0,1283,17,0,5,3,1,1,30,52.0,0
0,0,30,0,3333,74,0,22,2,1,1,25,153.315,0
0,0,29,0,1280,36,21,14,3,1,2,30,136.64,0
0,0,30,0,2395,45,158,17,2,1,1,25,820.8,0
0,0,21,0,930,28,176,5,2,2,1,25,835.11,0
5,0,21,0,315,17,0,1,2,1,2,25,14.94,0
4,0,19,0,840,24,2,7,2,1,1,25,47.88,0
0,0,19,0,2840,53,0,17,3,1,1,30,115.72,0
8,0,42,0,4325,75,13,21,3,1,1,30,228.0,0
0,0,43,0,273,9,15,8,2,1,2,25,80.19,0
11,0,42,1,3730,86,40,32,3,1,1,30,312.64,0
13,0,41,2,9070,125,152,47,3,1,1,30,975.8,0
7,0,42,0,13728,173,8,48,3,1,1,30,588.04,0
7,0,42,1,4470,87,10,29,3,1,1,30,222.28,0
6,0,42,0,5873,99,15,16,3,1,1,30,298.88,0
9,1,42,0,2193,58,16,21,3,1,2,30,154.04,0
3,0,41,1,6455,90,194,30,3,1,1,30,1037.8,0
0,0,41,0,830,18,8,15,2,1,2,25,74.16,0
2,0,42,0,665,18,21,12,3,1,2,30,111.32,0
0,0,41,0,0,0,8,0,2,1,2,25,36.0,1
8,0,41,1,6673,79,116,41,2,1,1,25,825.84,0
23,1,37,0,910,51,24,21,2,1,2,25,151.245,1
13,0,40,1,5773,102,34,28,2,1,1,25,417.375,0
1,0,38,0,2795,26,8,18,3,1,1,30,144.84,0
9,1,39,0,2945,45,17,20,3,1,2,30,187.6,1
9,0,40,0,2223,48,42,35,3,1,2,30,258.84,1
0,0,40,0,88,6,8,6,3,1,2,30,35.76,1
1,0,40,0,1623,29,8,10,3,1,1,30,98.08,0
2,0,40,0,3673,86,10,32,2,1,1,25,214.155,0
3,0,39,0,1620,48,46,24,3,1,2,30,250.72,0
6,0,40,0,2735,57,183,27,2,1,1,25,949.14,0
4,0,31,1,1270,40,201,15,2,2,1,25,963.45,0
11,0,31,0,655,29,18,11,2,1,2,25,111.78,0
10,0,29,0,1180,36,27,17,2,1,1,25,176.22,0
2,0,29,0,3180,65,16,27,3,1,1,30,193.8,0
2,0,22,0,1650,30,36,18,2,1,1,25,237.6,0
16,0,21,1,6348,145,93,46,2,2,1,25,710.685,0
0,0,30,0,3805,55,0,9,2,1,1,25,173.7,0
0,0,31,0,0,0,0,0,2,1,2,25,0.0,0
1,0,30,0,3210,66,10,20,2,1,1,25,192.42,0
3,0,29,0,8550,105,122,35,3,1,1,30,834.2,0
0,0,30,0,13208,153,0,36,3,1,1,30,534.44,0
0,0,30,0,3950,67,0,17,3,1,1,30,160.68,0
0,0,30,0,5353,79,0,4,2,1,1,25,244.44,0
0,0,30,0,1673,38,0,9,3,1,2,30,68.44,0
0,0,29,0,5935,70,164,18,3,1,1,30,896.2,0
0,0,29,0,0,0,0,0,2,1,2,25,0.0,0
0,0,30,0,0,0,0,0,2,1,2,25,0.0,0
0,0,29,0,0,0,0,0,2,1,2,25,0.0,1
0,0,29,0,10900,138,0,39,3,1,1,30,441.52,0
0,0,29,0,6153,59,86,29,2,1,1,25,666.54,0
13,1,25,0,390,31,0,9,2,1,2,25,18.945,1
3,0,28,0,5253,82,4,16,2,1,1,25,258.075,1
0,0,26,0,2275,6,0,6,3,1,1,30,91.24,0
0,1,27,0,2425,25,0,8,2,1,2,25,110.25,1
0,1,28,0,1703,28,12,23,3,1,2,30,117.24,1
0,0,28,0,0,0,0,0,2,1,2,25,0.0,1
0,0,28,0,0,0,0,0,3,1,1,30,0.0,0
0,0,28,0,0,0,0,0,3,1,2,30,0.0,1
0,0,28,0,3153,66,0,20,2,1,1,25,144.855,0
0,0,27,0,1100,28,16,12,3,1,2,30,109.12,0
0,0,28,0,2215,37,153,15,2,1,1,25,789.84,0
0,0,19,0,750,20,171,3,2,2,1,25,804.15,0
0,0,19,0,0,0,0,0,2,1,2,25,0.0,0
5,0,39,0,4245,73,9,20,2,1,1,25,234.81,0
0,0,40,0,193,7,11,7,2,1,2,25,58.5,0
8,0,39,0,3650,84,36,31,2,1,1,25,330.03,0
10,0,38,1,8990,123,148,46,3,1,1,30,956.52,0
4,0,39,0,13648,171,4,47,3,1,1,30,568.76,0
4,0,39,0,4390,85,6,28,3,1,1,30,203.0,0
3,0,39,0,5793,97,11,15,2,1,1,25,314.55,0
6,0,39,0,2113,56,12,20,3,1,2,30,134.76,0
0,0,38,0,6375,88,190,29,3,1,1,30,1018.52,0
0,0,38,0,750,16,4,14,2,1,2,25,52.47,0
0,0,39,0,585,16,17,11,2,1,2,25,103.545,0
0,0,38,0,0,0,4,0,2,1,2,25,18.0,1
4,0,38,0,11340,156,15,50,3,1,1,30,519.84,0
5,0,38,0,6593,77,112,40,2,1,1,25,804.15,0
20,1,34,0,830,49,20,20,2,1,2,25,129.555,1
10,0,37,0,5693,100,30,27,2,1,1,25,395.685,1
0,0,35,0,2715,24,4,17,3,1,1,30,125.56,0
6,1,36,0,2865,43,13,19,2,1,2,25,189.36,1
6,1,37,0,2143,46,38,34,3,1,2,30,239.56,1
0,0,37,0,8,4,4,5,3,1,2,30,16.48,1
0,0,37,0,1543,27,4,9,3,1,1,30,78.8,0
0,0,37,0,3593,84,6,31,2,1,1,25,192.465,0
0,0,36,0,1540,46,42,23,3,1,2,30,231.44,0
3,0,37,0,2655,55,179,26,2,1,1,25,927.45,0
1,0,28,0,1190,38,197,14,2,2,1,25,941.76,0
8,0,28,0,575,27,14,10,2,1,2,25,90.09,0
7,0,26,0,1100,34,23,16,2,1,1,25,154.53,0
0,0,26,0,3100,63,12,26,3,1,1,30,174.52,0
0,0,19,0,1570,28,32,17,2,1,1,25,215.91,0
1,0,33,0,3885,57,0,10,2,1,1,25,177.39,0
0,0,34,0,0,0,0,0,2,1,2,25,0.0,0
4,0,33,0,3290,68,14,21,2,1,1,25,214.11,0
6,0,32,1,8630,107,126,36,3,1,1,30,853.48,0
0,0,33,0,13288,155,0,37,3,1,1,30,537.72,0
0,0,33,0,4030,69,0,18,3,1,1,30,163.96,0
0,0,33,0,5433,81,0,5,2,1,1,25,248.13,0
2,0,33,0,1753,40,0,10,3,1,2,30,71.72,0
0,0,32,0,6015,72,168,19,3,1,1,30,915.48,0
0,0,32,0,0,0,0,0,2,1,2,25,0.0,0
0,0,33,0,0,0,0,0,2,1,2,25,0.0,0
0,0,32,0,0,0,0,0,2,1,2,25,0.0,1
0,0,32,0,10980,140,0,40,3,1,1,30,444.8,0
1,0,32,0,6233,61,90,30,2,1,1,25,688.23,0
16,0,28,0,470,33,0,10,2,1,2,25,22.635,1
6,1,31,0,5333,84,8,17,2,1,1,25,279.765,1
0,0,29,0,2355,8,0,7,3,1,1,30,94.52,0
2,1,30,0,2505,27,0,9,2,1,2,25,113.94,1
2,0,31,0,1783,30,16,24,3,1,2,30,136.52,1
0,0,31,0,0,0,0,0,3,1,2,30,0.0,1
0,0,31,0,0,0,0,0,3,1,1,30,0.0,0
0,0,31,0,3233,68,0,21,2,1,1,25,148.545,0
0,0,30,0,1180,30,20,13,3,1,2,30,128.4,0
